Datetime,Home Team,Away Team
2025-09-14T19:00:00,Canucks,RedWings
2025-09-14T20:00:00,Avalanche,GoldenKnights
2025-09-14T21:00:00,Leafs,Blackhawks
2025-09-21T19:00:00,RedWings,GoldenKnights
2025-09-21T20:00:00,Canucks,Leafs
2025-09-21T21:00:00,Blackhawks,Avalanche
2025-09-28T19:00:00,Blackhawks,Canucks
2025-09-28T20:00:00,Leafs,GoldenKnights
2025-09-28T21:00:00,Avalanche,RedWings
2025-10-05T19:00:00,Avalanche,Leafs
2025-10-05T20:00:00,Blackhawks,RedWings
2025-10-05T21:00:00,Canucks,GoldenKnights
2025-10-29T19:00:00,GoldenKnights,Blackhawks
2025-10-29T20:00:00,Avalanche,Canucks
2025-10-29T21:00:00,Leafs,RedWings
