PLAYER,Team,GP,W,L,T,SO,ENG,PIM,GA,GAA
CHRIS GEDNEY,VEGAS,16,10,4,2,2,0,2,50,3.125
AL THOMPSON,WHALERS,19,13,4,1,0,0,0,79,4.158
BO LEE,AVALANCHE,20,8,11,1,0,0,0,96,4.8
BRIAN NEIL,LEAFS,5,3,3,0,0,0,0,25,5
JOSH GABRIELLE,BLACKHAWKS,15,5,10,0,0,0,0,79,5.267
MIKE WEISS,RED WINGS,12,3,9,0,0,0,0,72,6
